x,y,z
1,0.00094,0
0.9928,0.00313,0
0.97989,0.00699,0
0.96352,0.01177,0
0.94455,0.01717,0
0.9235,0.02296,0
0.90075,0.029,0
0.87658,0.03516,0
0.85123,0.04135,0
0.82489,0.04749,0
0.79774,0.0535,0
0.76991,0.05932,0
0.74154,0.06492,0
0.71275,0.07024,0
0.68365,0.07525,0
0.65434,0.07992,0
0.62492,0.08422,0
0.59547,0.08814,0
0.56607,0.09165,0
0.5368,0.09474,0
0.50774,0.0974,0
0.47895,0.09963,0
0.4505,0.10141,0
0.42246,0.10275,0
0.39488,0.10365,0
0.36782,0.10391,0
0.34135,0.10345,0
0.31551,0.1023,0
0.29035,0.10049,0
0.26594,0.09807,0
0.24231,0.09508,0
0.21951,0.09156,0
0.1976,0.08756,0
0.17661,0.08315,0
0.1566,0.07836,0
0.1376,0.07326,0
0.11965,0.0679,0
0.1028,0.06235,0
0.08709,0.05666,0
0.07256,0.05088,0
0.05924,0.04509,0
0.04717,0.03932,0
0.03639,0.03364,0
0.02694,0.0281,0
0.01885,0.02274,0
0.01215,0.0176,0
0.00688,0.01273,0
0.00308,0.00816,0
0.00078,0.00391,0
0,0,0
0.00078,-0.00344,0
0.00308,-0.00632,0
0.00688,-0.00864,0
0.01215,-0.01043,0
0.01885,-0.0117,0
0.02694,-0.01248,0
0.03639,-0.0128,0
0.04717,-0.01269,0
0.05924,-0.01217,0
0.07256,-0.0113,0
0.08709,-0.01009,0
0.1028,-0.00859,0
0.11965,-0.00685,0
0.1376,-0.0049,0
0.1566,-0.00279,0
0.17661,-0.00057,0
0.1976,0.00171,0
0.21951,0.00401,0
0.24231,0.00627,0
0.26594,0.00845,0
0.29035,0.01049,0
0.31551,0.01235,0
0.34135,0.01397,0
0.36782,0.01531,0
0.39488,0.01633,0
0.42246,0.01708,0
0.4505,0.01774,0
0.47895,0.0183,0
0.50774,0.01873,0
0.5368,0.01902,0
0.56607,0.01916,0
0.59547,0.01913,0
0.62492,0.01892,0
0.65434,0.01852,0
0.68365,0.01793,0
0.71275,0.01716,0
0.74154,0.0162,0
0.76991,0.01507,0
0.79774,0.01377,0
0.82489,0.01234,0
0.85123,0.01078,0
0.87658,0.00913,0
0.90075,0.00742,0
0.9235,0.00569,0
0.94455,0.00399,0
0.96352,0.00238,0
0.97989,0.00092,0
0.9928,-0.00027,0
1,-0.00094,0
