,"Value of Cd at reynolds #100,000",,,"Value of Cd at reynolds #110,000",,,"Value of Cd at reynolds #120,000",,,"Value of Cd at reynolds #130,000",,,"Value of Cd at reynolds #150,000",,
Alpha,T1_Re0.100_M0.00_N9.0, , Alpha,T1_Re0.110_M0.00_N9.0, , Alpha,T1_Re0.120_M0.00_N9.0, , Alpha,T1_Re0.130_M0.00_N9.0, , Alpha,T1_Re0.150_M0.00_N9.0, , 
0,0.01697094, ,0,0.01621962, ,0,0.01538024, ,0,0.01454656, ,0,0.01299598, , 
1,0.01573058, ,1,0.01480651, ,1,0.01413196, ,1,0.01358378, ,1,0.01249561, , 
2,0.01447132, ,2,0.0137376, ,2,0.01314773, ,2,0.01267578, ,2,0.01194593, , 
3,0.01441387, ,3,0.01377932, ,3,0.01324598, ,3,0.01283199, ,3,0.01214113, , 
4,0.0151927, ,4,0.01459505, ,4,0.01404708, ,4,0.01364047, ,4,0.01291661, , 
5,0.01677162, ,5,0.01608649, ,5,0.01556471, ,5,0.01506731, ,5,0.01432102, , 
6,0.01968701, ,6,0.01882947, ,6,0.0182436, ,6,0.01762626, ,6,0.01676811, , 
7,0.02356064, ,7,0.02273331, ,7,0.0217274, ,7,0.0209858, ,7,0.01979451, , 
8,0.02862639, ,8,0.02774188, ,8,0.02639772, ,8,0.0252242, ,8,0.02388461, , 
9,0.03576192, ,9,0.03369905, ,9,0.03173607, ,9,0.03144767, ,9,0.02868187, , 
10,0.04563911, ,10,0.04402636, ,10,0.04169839, ,10,0.03897764, ,10,0.03657235, , 
11,0.05999239, ,11,0.05832546, ,11,0.05124932, ,11,0.04969772, ,11,0.04341383, , 
12,0.1148502, ,12,0.08076428, ,12,0.06728974, ,12,0.06535887, ,12,0.05579393, , 
13,0.1518393, ,13,0.1484952, ,13,0.1475303, ,14,0.1619604, ,13,0.1173695, , 
14,0.1671606, ,14,0.1635591, ,14,0.1634698, ,15,0.1789829, ,14,0.1591151, , 
15,0.1811211, ,15,0.1796994, ,15,0.1777271, ,16,0.1923769, ,15,0.1748769, , 
16,0.1951357, ,17,0.06336725, ,16,0.1939292, ,17,0.2107887, ,16,0.1922145, , 
17,0.2163812, ,18,0.07824421, ,17,0.208385, ,18,0.2217898, ,17,0.2062429, , 
18,0.224066, ,19,0.0862356, ,18,0.223202, ,19,0.2370817, ,18,0.2216751, , 
19,0.2389652, ,20,0.1023311, ,19,0.2444177, ,20,0.2506344, ,19,0.2351145, , 
20,0.2523425, ,21,0.1138102, ,20,0.251543, ,21,0.2695023, ,20,0.2514703, , 
21,0.2677121, ,22,0.1277229, ,21,0.2662471, ,22,0.2781715, ,21,0.2640316, , 
22,0.2789257, ,23,0.1422572, ,22,0.2807808, ,23,0.2911267, ,22,0.2780963, , 
23,0.296421, ,24,0.1649323, ,23,0.2919018, ,24,0.3172538, ,23,0.2963218, , 
24,0.3094096, ,25,0.1745407, ,24,0.3051948, ,25,0.3193447, ,24,0.3050255, , 
25,0.3201289, ,26,0.1910591, ,25,0.3248294, ,26,0.3329892, ,25,0.3179586, , 
26,0.3409035, ,27,0.2122004, ,26,0.3338083, ,27,0.3580076, ,26,0.3389002, , 
27,0.3496107, ,28,0.2264678, ,27,0.3477872, ,28,0.3640925, ,27,0.3480859, , 
28,0.3633955, ,29,0.244292, ,28,0.3724705, ,29,0.3775897, ,28,0.362386, , 
29,0.3776412, ,32,0.4220398, ,29,0.3790453, ,30,0.3919533, ,29,0.3762388, , 
31,0.2841134, ,33,0.43639, ,30,0.3924329, ,31,0.4060903, , , , , 
32,0.3081176, , , , ,31,0.4069378, ,32,0.4242772, , , , , 
33,0.3198711, , , , ,32,0.4212337, ,33,0.4416001, , , , , 
34,0.3377789, , , , ,33,0.4396502, ,34,0.4519004, , , , , 
35,0.3571049, , , , ,34,0.4551741, ,35,0.467087, , , , , 
, , , , , ,35,0.4673724, ,36,0.4815573, , , , , 
, , , , , ,36,0.4824813, ,37,0.4970216, , , , , 
, , , , , ,37,0.4970275, , , , , , , , 
, , , , , ,38,0.5115408, , , , , , , , 
