,"Value of Cl vs Alpha at Reynolds #100,000",,,"Value of Cl vs Alpha at Reynolds #110,000",,,"Value of Cl vs Alpha at Reynolds #120,000",,,"Value of Cl vs Alpha at Reynolds #130,000",,,"Value of Cl vs Alpha at Reynolds #150,000",,,,,
Alpha,T1_Re0.100_M0.00_N9.0, , Alpha,T1_Re0.110_M0.00_N9.0, , Alpha,T1_Re0.120_M0.00_N9.0, , Alpha,T1_Re0.130_M0.00_N9.0, , Alpha,T1_Re0.150_M0.00_N9.0, , ,,,
0,1.59E-07, ,0,-1.27E-08, ,0,-3.17E-10, ,0,-2.35E-09, ,0,1.88E-08, , ,,,
1,0.2582807, ,1,0.2763653, ,1,0.2708436, ,1,0.2459343, ,1,0.2072165, , ,,,
2,0.3732167, ,2,0.3703504, ,2,0.3674061, ,2,0.3650237, ,2,0.361259, , ,,,
3,0.454366, ,3,0.4528825, ,3,0.4515082, ,3,0.4503664, ,3,0.4485036, , ,,,
4,0.5364848, ,4,0.5358932, ,4,0.5356224, ,4,0.5352203, ,4,0.5351298, , ,,,
5,0.6139848, ,5,0.6142733, ,5,0.6145096, ,5,0.6152364, ,5,0.6162947, , ,,,
6,0.6858587, ,6,0.6869265, ,6,0.6872447, ,6,0.6888577, ,6,0.6906216, , ,,,
7,0.7623925, ,7,0.7622499, ,7,0.7626986, ,7,0.7630138, ,7,0.7655575, , ,,,
8,0.8448609, ,8,0.8446027, ,8,0.8441522, ,8,0.8439284, ,8,0.8440298, , ,,,
9,0.919174, ,9,0.9203936, ,9,0.922723, ,9,0.9234748, ,9,0.9239622, , ,,,
10,0.9651013, ,10,0.972741, ,10,0.9747454, ,10,0.9850163, ,10,0.9909614, , ,,,
11,0.9579355, ,11,0.9456375, ,11,1.006224, ,11,1.001023, ,11,1.032838, , ,,,
12,0.7106636, ,12,0.8350108, ,12,0.9317795, ,12,0.9221394, ,12,1.016418, , ,,,
13,0.6788424, ,13,0.6460436, ,13,0.6568849, ,14,0.6561656, ,13,0.7330467, , ,,,
14,0.6795673, ,14,0.6569621, ,14,0.6881708, ,15,0.6954911, ,14,0.6863655, , ,,,
15,0.6923417, ,15,0.6665708, ,15,0.6813546, ,16,0.6934746, ,15,0.6849887, , ,,,
16,0.6854637, ,17,0.233776, ,16,0.6872639, ,17,0.7289911, ,16,0.6929539, , ,,,
17,0.7386365, ,18,0.2817171, ,17,0.7242188, ,18,0.7413071, ,17,0.7169349, , ,,,
18,0.7360232, ,19,0.2948088, ,18,0.7367294, ,19,0.7655626, ,18,0.7390854, , ,,,
19,0.7653738, ,20,0.3343816, ,19,0.7876845, ,20,0.7976103, ,19,0.7722576, , ,,,
20,0.7968464, ,21,0.361219, ,20,0.793844, ,21,0.8318479, ,20,0.7968899, , ,,,
21,0.8261514, ,22,0.3844126, ,21,0.831115, ,22,0.8564025, ,21,0.8264132, , ,,,
22,0.8555277, ,23,0.4137172, ,22,0.8581744, ,23,0.8885066, ,22,0.8622201, , ,,,
23,0.8919378, ,24,0.4552118, ,23,0.8869829, ,24,0.9268545, ,23,0.8924613, , ,,,
24,0.9178694, ,25,0.4684302, ,24,0.9184684, ,25,0.9474372, ,24,0.9183896, , ,,,
25,0.9463007, ,26,0.4963439, ,25,0.9493195, ,26,0.976986, ,25,0.9491306, , ,,,
26,0.9792451, ,27,0.5255481, ,26,0.9762092, ,27,1.007889, ,26,0.9790142, , ,,,
27,1.003027, ,28,0.5442841, ,27,1.004804, ,28,1.03099, ,27,1.005351, , ,,,
28,1.030876, ,29,0.5681547, ,28,1.033273, ,29,1.058401, ,28,1.032935, , ,,,
29,1.057199, ,32,1.129685, ,29,1.056749, ,30,1.083683, ,29,1.059014, , ,,,
31,0.614947, ,33,1.150999, ,30,1.083148, ,31,1.107374, , , , , ,,,
32,0.6385239, , , , ,31,1.107308, ,32,1.128882, , , , , ,,,
33,0.6481659, , , , ,32,1.129865, ,33,1.149089, , , , , ,,,
34,0.6639196, , , , ,33,1.149714, ,34,1.172084, , , , , ,,,
35,0.6802564, , , , ,34,1.169012, ,35,1.191643, , , , , ,,,
, , , , , ,35,1.190969, ,36,1.208724, , , , , ,,,
, , , , , ,36,1.208865, ,37,1.222738, , , , , ,,,
, , , , , ,37,1.224587, , , , , , , , ,,,
, , , , , ,38,1.237826, , , , , , , , ,,,
